neighborhood,cd,construction_jobs,manufacturing_jobs,wholesale_jobs,pop_black,pop_hispanic,pop_asian,food_services,total_businesses,median_household_income,commute_public_transit,pct_bachelors_plus,borough,total_jobs,total_population_proxy,pct_hispanic,pct_black,pct_asian,nfh_median_income,nfh_poverty_rate,nfh_pct_white,nfh_pct_black,nfh_pct_asian,nfh_pct_hispanic,nfh_goal1_fin_services_score,nfh_goal2_goods_services_score,nfh_goal3_jobs_income_score,nfh_goal4_fin_shocks_score,nfh_goal5_build_assets_score,nfh_overall_score,nfh_goal1_fin_services_rank,nfh_goal2_goods_services_rank,nfh_goal3_jobs_income_rank,nfh_goal4_fin_shocks_rank,nfh_goal5_build_assets_rank,nfh_overall_rank
Astoria & Long Island City,QN01,665.0,96.0,193.0,11042.0,46914.0,27301.0,537.0,4187.0,56201.0,67.42496150519943,44.0,QUEENS,954.0,85257.0,0.5502656673352335,0.1295142920815886,0.32022004058317793,31658,0.183,0.478,0.063,0.159,0.272,4.199391307,7.443763502,4.901631079,6.855971164,4.646814747,4.980345913,14,8,10,12,33,12
Sunnyside & Woodside,QN02,701.0,390.0,536.0,1959.0,46126.0,48756.0,520.0,5479.0,60154.0,68.97549469988893,38.0,QUEENS,1627.0,96841.0,0.47630652306357846,0.020229035222684606,0.5034644417137369,31245,0.204,0.281,0.013,0.352,0.332,4.02865576,3.066736923,3.644232652,4.7716885,3.466084174,3.162262769,17,38,22,22,45,28
Jackson Heights and East Elmhurst,QN03,245.0,37.0,73.0,8778.0,120456.0,31236.0,326.0,2567.0,51083.0,63.94609712687516,20.0,QUEENS,355.0,160470.0,0.7506449803701627,0.054701813423069734,0.19465320620676763,22853,0.254,0.1,0.048,0.169,0.667,1.795952203,2.27420521,2.383733932,1.195232628,4.75548289,1.692096997,41,49,38,48,32,45
Elmhurst and Corona,QN04,291.0,82.0,142.0,11135.0,72194.0,47214.0,391.0,3174.0,44865.0,66.00045630846452,22.0,QUEENS,515.0,130543.0,0.5530285040178332,0.08529756478708166,0.3616739311950851,21889,0.271,0.063,0.079,0.332,0.507,3.012712713,2.492034122,1.980666462,0.207749269,4.132507215,1.530314558,27,44,48,53,38,46
"Ridgewood, Glendale & Middle Village",QN05,910.0,182.0,412.0,2672.0,62350.0,14652.0,338.0,4033.0,62873.0,52.70092541667663,25.0,QUEENS,1504.0,79674.0,0.7825639480884605,0.033536661897231215,0.1838993900143083,31420,0.186,0.531,0.015,0.084,0.358,4.116461156,4.116770743,3.565295625,4.390752331,6.142149413,3.861993083,15,22,24,27,18,21
Forest Hills & Rego Park,QN06,132.0,26.0,155.0,3331.0,18004.0,31135.0,268.0,3338.0,67596.0,58.66880483668805,55.0,QUEENS,313.0,52470.0,0.3431294072803507,0.06348389555936726,0.593386697160282,41029,0.163,0.512,0.029,0.272,0.157,5.261073917,8.823640768,5.390182491,8.077411194,5.833415227,6.1181795,7,5,8,9,20,8
"Flushing, Murray Hill & Whitestone",QN07,1034.0,186.0,838.0,5652.0,43960.0,129327.0,886.0,9457.0,52722.0,36.32597182692654,27.0,QUEENS,2058.0,178939.0,0.2456703122293072,0.03158618300091093,0.7227435047697819,25517,0.252,0.256,0.021,0.521,0.176,5.913333797,6.090087296,2.359625512,2.153470806,6.220997544,3.75008876,6,12,39,42,17,22
"Briarwood, Fresh Meadows & Hillcrest",QN08,268.0,31.0,186.0,18593.0,30242.0,54847.0,309.0,3336.0,62679.0,45.79039607430774,41.0,QUEENS,485.0,103682.0,0.2916803302405432,0.17932717347273394,0.5289924962867228,30239,0.22,0.316,0.114,0.339,0.186,4.427404874,2.224866091,4.097157046,4.291639466,6.730133965,3.936159831,12,50,17,28,13,19
Richmond Hill & Woodhaven,QN09,275.0,49.0,93.0,9132.0,64747.0,41175.0,204.0,2239.0,62333.0,52.65452608262887,26.0,QUEENS,417.0,115054.0,0.5627531420028856,0.0793714255914614,0.357875432405653,26357,0.219,0.179,0.058,0.263,0.418,2.731795117,4.576268937,3.097412331,1.768630199,5.910813717,2.879953504,31,20,31,44,19,30
Howard Beach & Ozone Park,QN10,363.0,33.0,92.0,20832.0,35233.0,29287.0,244.0,2537.0,65373.0,42.93575884254874,21.0,QUEENS,488.0,85352.0,0.4127964195332271,0.24407160933545788,0.34313197113131505,27016,0.189,0.216,0.151,0.21,0.257,3.203020295,3.868696716,3.41856557,0.008937763,8.516752016,3.238733698,25,30,28,54,7,27
"Bayside, Douglaston & Little Neck",QN11,258.0,25.0,186.0,2036.0,14145.0,51250.0,232.0,2488.0,78520.0,30.856459676835012,44.0,QUEENS,469.0,67431.0,0.20976998709792233,0.030193827764677966,0.7600361851373997,37432,0.135,0.413,0.018,0.427,0.118,9.050976215,7.045904251,4.620964496,5.809358735,9.93725964,6.962413375,2,10,11,18,2,5
"Jamaica, Hollis & St. Albans",QN12,270.0,67.0,159.0,148776.0,40599.0,27856.0,261.0,3099.0,55203.0,48.51943910331567,21.0,QUEENS,496.0,217231.0,0.18689321505678289,0.6848746265496177,0.12823215839359944,25946,0.204,0.017,0.621,0.116,0.169,2.790191947,2.435208605,3.490816899,0.452454504,7.579895169,2.819074656,30,46,27,52,10,31
"Queens Village, Cambria Heights & Rosedale",QN13,273.0,26.0,67.0,112853.0,23572.0,30312.0,204.0,2419.0,78303.0,35.167968665934964,28.0,QUEENS,366.0,166737.0,0.14137234087215195,0.676832376737017,0.18179528239083106,32961,0.132,0.117,0.561,0.15,0.117,3.344013434,1.928324023,4.255353532,1.351371936,9.21333981,3.680972235,23,51,16,46,5,23
"Far Rockaway, Breezy Point & Broad Channel",QN14,82.0,9.0,40.0,43236.0,28665.0,4883.0,122.0,1156.0,49451.0,37.43235183671666,27.0,QUEENS,131.0,76784.0,0.37331996249218585,0.5630860595957491,0.06359397791206502,25920,0.179,0.35,0.353,0.039,0.235,1.008637724,3.819804748,3.272489673,4.013446129,5.500524086,2.778861856,45,31,30,30,27,32
"Port Richmond, Stapleton & Mariners Harbor",SI01,351.0,56.0,100.0,37635.0,50711.0,12704.0,255.0,2736.0,60746.0,36.9888021619446,29.0,STATEN ISLAND,507.0,101050.0,0.501840672934191,0.37243938644235525,0.12571994062345374,31347,0.212,0.381,0.221,0.075,0.293,3.758084346,3.971682377,4.288928488,3.207942293,7.757604058,4.1347834,20,25,15,34,9,16
New Springville & South Beach,SI02,484.0,47.0,170.0,5121.0,18436.0,16952.0,325.0,3997.0,74942.0,29.010676406546324,31.0,STATEN ISLAND,701.0,40509.0,0.45510874126737266,0.12641635192179515,0.41847490681083216,35413,0.144,0.683,0.037,0.125,0.136,4.08093547,9.69241463,4.58739355,3.498205735,8.820003297,5.489993157,16,3,12,32,6,11
"Tottenville, Great Kills & Annadale",SI03,409.0,32.0,106.0,1461.0,16082.0,7805.0,211.0,2485.0,86978.0,23.69240608403081,32.0,STATEN ISLAND,547.0,25348.0,0.634448477197412,0.05763768344642575,0.30791383935616223,40637,0.114,0.836,0.009,0.047,0.097,3.757060221,5.358250344,4.943597361,5.862159382,9.687718566,5.54297091,21,15,9,17,3,10
