neighborhood,cd,borough,area_km2,total_poi,unique_poi,category_diversity,num_retail,food,other,retail,ratio_retail,category_entropy,avg_pedestrian,peak_pedestrian,pedestrian_count_points,subway_station_count,construction_jobs,manufacturing_jobs,wholesale_jobs,pop_black,pop_hispanic,pop_asian,food_services,total_businesses,median_household_income,commute_public_transit,pct_bachelors_plus,total_jobs,total_population_proxy,pct_hispanic,pct_black,pct_asian,poi_density_per_km2,retail_density_per_km2,subway_density_per_km2,commercial_activity_score,transit_activity_score
BK01 Williamsburg-Greenpoint (CD 1 Equivalent),BK01,BROOKLYN,131.65097488055306,1194.0,1145.0,2.0,0.0,299.0,895.0,0.0,0.0,0.5627947325624211,2552.689312714777,8882.0,3.0,13.0,508.0,267.0,440.0,6649.0,36720.0,11353.0,673.0,5556.0,59577.0,50881.0,47.0,1215.0,54722.0,0.6710281056978912,0.1215050619494901,0.2074668323526187,9.069435308650895,0.0,0.09874594557157591,3047911.0393814435,33184.9610652921
BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),BK02,BROOKLYN,75.9207374079622,766.0,714.0,2.0,0.0,203.0,563.0,0.0,0.0,0.5782353755002146,2513.553387819839,15733.0,7.0,16.0,227.0,183.0,289.0,35614.0,21538.0,12722.0,646.0,6076.0,82127.0,48705.0,60.0,699.0,69874.0,0.3082405472708017,0.5096888685347912,0.182070584194407,10.089469967656894,0.0,0.2107461089850004,1925381.8950699966,40216.85420511742
BK03 Bedford-Stuyvesant (CD 3 Approximation),BK03,BROOKLYN,78.19635902924499,444.0,427.0,2.0,0.0,119.0,325.0,0.0,0.0,0.5812775355461062,2913.264425594739,9538.568181818182,0.0,8.0,65.0,19.0,32.0,75618.0,26792.0,4830.0,219.0,1512.0,40537.0,39513.0,29.0,116.0,107240.0,0.2498321521820216,0.7051286833271168,0.0450391644908616,5.6780137273903835,0.0,0.10230655364667357,0.0,0.0
BK04 Bushwick (CD 4 Equivalent),BK04,BROOKLYN,56.65370158818877,418.0,412.0,3.0,1.0,108.0,309.0,1.0,0.0023923444976076554,0.5874607935515049,2913.264425594739,9538.568181818182,0.0,11.0,154.0,163.0,278.0,24780.0,82261.0,6499.0,310.0,2486.0,42197.0,45653.0,25.0,595.0,113540.0,0.7245111854852915,0.218249075215783,0.0572397392989254,7.378158677757874,0.017651097315210224,0.1941620704673125,0.0,0.0
BK05 East New York-Cypress Hills (CD 5 Approximation),BK05,BROOKLYN,165.45984464710074,261.0,241.0,2.0,0.0,66.0,195.0,0.0,0.0,0.565470112710913,2913.264425594739,9538.568181818182,0.0,15.0,135.0,72.0,145.0,81157.0,57794.0,7060.0,221.0,2065.0,36385.0,38556.0,14.0,352.0,146011.0,0.3958194930518933,0.5558279855627316,0.048352521385375,1.5774220056634953,0.0,0.09065643710709743,0.0,0.0
BK06 Park Slope-Carroll Gardens (CD 6 Approximation),BK06,BROOKLYN,86.64315338405957,691.0,671.0,3.0,1.0,204.0,486.0,1.0,0.001447178002894356,0.617164613984949,2105.1203350515466,7496.0,4.0,8.0,264.0,133.0,163.0,7933.0,20395.0,7306.0,461.0,3504.0,104652.0,43655.0,71.0,560.0,35634.0,0.5723466352360106,0.222624459785598,0.2050289049783914,7.975240662548747,0.011541592854629157,0.09233274283703326,1454638.1515206187,16840.962680412373
BK07 Sunset Park-Windsor Terrace (CD 7 Approximation),BK07,BROOKLYN,105.54696901801827,578.0,560.0,2.0,0.0,241.0,337.0,0.0,0.0,0.6792901169422845,4110.773195876289,10699.0,1.0,9.0,353.0,253.0,542.0,3840.0,62339.0,49164.0,424.0,3994.0,48232.0,43920.0,27.0,1148.0,115343.0,0.5404662614983137,0.0332920073173057,0.4262417311843805,5.476234944286536,0.0,0.08527009428819865,2376026.907216495,36996.9587628866
BK08 Crown Heights (North) (CD 8 Approximation),BK08,BROOKLYN,46.93986973483055,347.0,339.0,2.0,0.0,78.0,269.0,0.0,0.0,0.5328963949477731,1397.494845360825,2678.0,1.0,2.0,71.0,37.0,63.0,75704.0,15506.0,4509.0,291.0,2053.0,45503.0,43164.0,38.0,171.0,95719.0,0.1619950062161117,0.7908983587375548,0.0471066350463335,7.392436365082568,0.0,0.04260770239240673,484930.71134020627,2794.98969072165
BK09 Crown Heights (South) (CD 9 Approximation),BK09,BROOKLYN,44.092521700985984,221.0,212.0,2.0,0.0,49.0,172.0,0.0,0.0,0.5290756217922568,2913.264425594739,9538.568181818182,0.0,10.0,29.0,13.0,14.0,73991.0,10702.0,1996.0,78.0,771.0,44329.0,32770.0,29.0,56.0,86689.0,0.1234528025470359,0.8535223615452942,0.0230248359076699,5.0121878149477235,0.0,0.2267958287306662,0.0,0.0
BK10 Bay Ridge-Dyker Heights (CD 10 Approximation),BK10,BROOKLYN,109.20876763552343,461.0,442.0,2.0,0.0,150.0,311.0,0.0,0.0,0.6308581518856287,3326.7,6828.0,1.0,4.0,276.0,32.0,124.0,2012.0,19288.0,30042.0,304.0,2920.0,60863.0,29923.0,40.0,432.0,51342.0,0.3756768337813096,0.0391881890070507,0.5851349772116395,4.2212727968742865,0.0,0.036627095851403786,1533608.7,13306.8
BK11 Bensonhurst-Bath Beach (CD 11 Approximation),BK11,BROOKLYN,103.02691177433738,452.0,433.0,2.0,0.0,194.0,258.0,0.0,0.0,0.6830891360975786,2913.264425594739,9538.568181818182,0.0,10.0,628.0,162.0,466.0,1637.0,27200.0,73858.0,459.0,6457.0,51165.0,49454.0,29.0,1256.0,102695.0,0.2648619699109012,0.01594040605677,0.7191976240323288,4.387203228900307,0.0,0.09706201833850236,0.0,0.0
