business_name,category,borough,latitude,longitude,poi_type,description
LUZ DE AMERICA,latin american,QUEENS,40.7501751327,-73.86054822015,restaurant,latin american restaurant in QUEENS
VAMOS AL TEQUILA,mexican,BROOKLYN,40.73075328777,-73.95772714958,restaurant,mexican restaurant in BROOKLYN
SANTI & TITO EMPANADAS Y MAS,latin american,BRONX,40.8365750585,-73.92210618378,restaurant,latin american restaurant in BRONX
BURMESE HUT,indian,QUEENS,40.74161710708,-73.88276707372,restaurant,indian restaurant in QUEENS
THE KISS ME BAR,latin american,QUEENS,40.74610548684,-73.86822583036,restaurant,latin american restaurant in QUEENS
PACRIM,asian/asian fusion,MANHATTAN,40.7540268493,-73.96849358788,restaurant,asian/asian fusion restaurant in MANHATTAN
TOST,american,QUEENS,40.73965062818,-73.81512698434,restaurant,american restaurant in QUEENS
MOON & FLOWER HOUSE,chinese,BROOKLYN,40.63726527285,-74.01130638793,restaurant,chinese restaurant in BROOKLYN
TJ'S TASTY CORNER 2,caribbean,BROOKLYN,40.66410116764,-73.92418271527,restaurant,caribbean restaurant in BROOKLYN
WOK AND ROLL KITCHEN,chinese,BROOKLYN,40.64954269396,-73.96282040932,restaurant,chinese restaurant in BROOKLYN
JEFE TACOS,mexican,BROOKLYN,40.69082623269,-73.98345224546,restaurant,mexican restaurant in BROOKLYN
"TACO BELL, KFC",chicken,MANHATTAN,40.82969220344,-73.94808100354,restaurant,chicken restaurant in MANHATTAN
5 STAR PIZZA,pizza,BRONX,40.87918621163,-73.87462213105,restaurant,pizza restaurant in BRONX
GOAL OMAKASE SUSHI,japanese,MANHATTAN,40.77479914052,-73.95245298717,restaurant,japanese restaurant in MANHATTAN
AJISEN RAMEN,japanese,MANHATTAN,40.7140893549,-73.99871943539,restaurant,japanese restaurant in MANHATTAN
TOKIODELIC,japanese,MANHATTAN,40.72049015351,-73.99866159078,restaurant,japanese restaurant in MANHATTAN
HUI RESTAURANT AND BAR,chinese,MANHATTAN,40.76715736059,-73.9585559398,restaurant,chinese restaurant in MANHATTAN
WILD CRAB HOUSE,cajun,STATEN ISLAND,40.62638822563,-74.13031565192,restaurant,cajun restaurant in STATEN ISLAND
EQUINOX NYC ROOM SERVICE KITCHEN,american,MANHATTAN,40.75486555137,-74.00263489186,restaurant,american restaurant in MANHATTAN
MAYFIELD,american,BROOKLYN,40.67486652621,-73.9564612703,restaurant,american restaurant in BROOKLYN
BROKEN LAND,american,BROOKLYN,40.72955376148,-73.95755472633,restaurant,american restaurant in BROOKLYN
ACAPULCO,mexican,BROOKLYN,40.73667832022,-73.95531292988,restaurant,mexican restaurant in BROOKLYN
DIMSUM GARDEN,chinese,MANHATTAN,40.74973612354,-73.97729837132,restaurant,chinese restaurant in MANHATTAN
TABLE 87,pizza,BROOKLYN,40.6559438401,-74.00715767929,restaurant,pizza restaurant in BROOKLYN
KEE WANG RESTAURANT,chinese,BRONX,40.85364625148,-73.8995151534,restaurant,chinese restaurant in BRONX
UVA,italian,MANHATTAN,40.77232744295,-73.95577270849,restaurant,italian restaurant in MANHATTAN
MAMO RESTAURANT,italian,MANHATTAN,40.72199147645,-74.00408025624,restaurant,italian restaurant in MANHATTAN
POPEYES,chicken,BROOKLYN,40.64550798109,-74.00990963119,restaurant,chicken restaurant in BROOKLYN
GRAB AND GO,jewish/kosher,MANHATTAN,40.75702661736,-73.97947965997,restaurant,jewish/kosher restaurant in MANHATTAN
