neighborhood,cd,borough,area_km2,avg_pedestrian,peak_pedestrian,pedestrian_count_points,subway_station_count,shooting_incident_count,storefront_filing_count,construction_jobs,manufacturing_jobs,wholesale_jobs,pop_black,pop_hispanic,pop_asian,total_population_proxy,food_services,total_businesses,median_household_income,commute_public_transit,pct_bachelors_plus,total_jobs,category_diversity,category_entropy,subway_density_per_km2,storefront_density_per_km2,commercial_activity_score,competitive_score,transit_activity_score
MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),MN08,MANHATTAN,5.129295060788912,1763.1666666666667,3172.0,1.0,9.0,0,0,129.0,55.0,229.0,6215.0,19962.0,21901.0,48078.0,698.0,8896.0,109111.0,56.68946806838766,80.0,413.0,0,0.0,1.7546270770813786,0.0,0.0,0.0,9.672154307037994
MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent),MN09,MANHATTAN,3.9614965228474537,3864.8988095238096,8907.5,0.0,6.0,0,0,67.0,11.0,25.0,27583.0,49179.0,10550.0,87312.0,224.0,1962.0,45765.0,68.09494764664024,46.0,103.0,0,0.0,1.5145791408362277,0.0,0.0,0.0,10.051493370905689
MN10 Harlem (CD 10 Equivalent),MN10,MANHATTAN,3.550685579490432,5343.5,9288.0,1.0,8.0,0,0,38.0,11.0,9.0,78162.0,32136.0,4440.0,114738.0,161.0,1270.0,40816.0,74.054494372683,35.0,58.0,0,0.0,2.2530860085753073,0.0,0.0,0.0,10.663101082278448
MN11 East Harlem (CD 11 Equivalent),MN11,MANHATTAN,6.153880420832919,3864.8988095238096,8907.5,0.0,5.0,0,0,73.0,20.0,25.0,36283.0,55468.0,9618.0,101369.0,240.0,1721.0,31628.0,70.02541984414718,32.0,118.0,0,0.0,0.8124954757120967,0.0,0.0,0.0,9.869180438335516
MN12 Washington Heights-Inwood (CD 12 Equivalent),MN12,MANHATTAN,7.246168324945305,3233.5,5453.0,1.0,12.0,0,0,60.0,22.0,48.0,16969.0,153399.0,5864.0,176232.0,334.0,3049.0,43307.0,65.02299711199059,32.0,130.0,0,0.0,1.6560476464077416,0.0,0.0,0.0,10.56625284220999
MN64 Central Park (JIA 64 Equivalent),MN64,MANHATTAN,3.559339126342401,3864.8988095238096,8907.5,0.0,6.0,0,0,114.5,47.0,180.5,11863.0,30008.5,19861.5,72101.5,631.5,7489.5,72931.0,60.85623259018912,60.5,342.0,0,0.0,1.6857061906786155,0.0,0.0,0.0,10.051493370905689
QN01 Astoria-Queensbridge (CD 1 Equivalent),QN01,QUEENS,16.1622331719826,1633.5,4178.0,2.0,11.0,0,0,665.0,96.0,193.0,11042.0,46914.0,27301.0,85257.0,537.0,4187.0,56201.0,67.42496150519943,44.0,954.0,0,0.0,0.680599016419873,0.0,0.0,0.0,9.796431155239143
QN02 Long Island City-Sunnyside-Woodside (CD 2 Approximation),QN02,QUEENS,12.200252418125283,1755.5,2579.0,1.0,14.0,0,0,701.0,390.0,536.0,1959.0,46126.0,48756.0,96841.0,520.0,5479.0,60154.0,68.97549469988893,38.0,1627.0,0,0.0,1.1475172414630475,0.0,0.0,0.0,10.109607012844542
QN03 Jackson Heights-East Elmhurst (CD 3 Approximation),QN03,QUEENS,7.621925618634138,2970.25,5176.0,2.0,3.0,0,0,245.0,37.0,73.0,8778.0,120456.0,31236.0,160470.0,326.0,2567.0,51083.0,63.94609712687516,20.0,355.0,0,0.0,0.3936013220419757,0.0,0.0,0.0,9.095125909708967
QN04 Elmhurst-Corona (CD 4 Approximation),QN04,QUEENS,6.143482198096731,2994.6666666666665,4470.0,1.0,7.0,0,0,291.0,82.0,142.0,11135.0,72194.0,47214.0,130543.0,391.0,3174.0,44865.0,66.00045630846452,22.0,515.0,0,0.0,1.1394189442216698,0.0,0.0,0.0,9.95054605952216
QN05 Ridgewood-Maspeth-Middle Village (CD 5 Approximation),QN05,QUEENS,20.341395861328706,1395.6666666666667,3552.0,3.0,5.0,0,0,910.0,182.0,412.0,2672.0,62350.0,14652.0,79674.0,338.0,4033.0,62873.0,52.70092541667663,25.0,1504.0,0,0.0,0.2458041736214163,0.0,0.0,0.0,8.850708680211191
QN06 Forest Hills-Rego Park (CD 6 Approximation),QN06,QUEENS,7.260180630895078,1886.3333333333333,4485.0,2.0,4.0,0,0,132.0,26.0,155.0,3331.0,18004.0,31135.0,52470.0,268.0,3338.0,67596.0,58.66880483668805,55.0,313.0,0,0.0,0.5509504795209009,0.0,0.0,0.0,8.928817073062197
QN07 Flushing-Murray Hill-Whitestone (CD 7 Approximation),QN07,QUEENS,30.631526701440414,4474.083333333333,14621.0,4.0,1.0,0,0,1034.0,186.0,838.0,5652.0,43960.0,129327.0,178939.0,886.0,9457.0,52722.0,36.32597182692654,27.0,2058.0,0,0.0,0.03264610379191371,0.0,0.0,0.0,8.406280252509498
QN08 Fresh Meadows-Hillcrest-Briarwood (CD 8 Approximation),QN08,QUEENS,18.770522349207024,1486.5,2718.0,1.0,0.0,0,0,268.0,31.0,186.0,18593.0,30242.0,54847.0,103682.0,309.0,3336.0,62679.0,45.79039607430774,41.0,485.0,0,0.0,0.0,0.0,0.0,0.0,0.0
QN09 Kew Gardens-Richmond Hill-Woodhaven (CD 9 Approximation),QN09,QUEENS,10.053837657195306,1448.4166666666667,2709.0,2.0,8.0,0,0,275.0,49.0,93.0,9132.0,64747.0,41175.0,115054.0,204.0,2239.0,62333.0,52.65452608262887,26.0,417.0,0,0.0,0.7957160512010635,0.0,0.0,0.0,9.357754123865009
QN10 South Ozone Park-Howard Beach (CD 10 Approximation),QN10,QUEENS,15.923350299824907,1694.5,3865.0,0.0,8.0,0,0,363.0,33.0,92.0,20832.0,35233.0,29287.0,85352.0,244.0,2537.0,65373.0,42.93575884254874,21.0,488.0,0,0.0,0.5024068333212495,0.0,0.0,0.0,9.51465829807939
QN11 Auburndale-Bayside-Douglaston (CD 11 Approximation),QN11,QUEENS,24.13534961292614,1294.5,2069.0,1.0,0.0,0,0,258.0,25.0,186.0,2036.0,14145.0,51250.0,67431.0,232.0,2488.0,78520.0,30.856459676835012,44.0,469.0,0,0.0,0.0,0.0,0.0,0.0,0.0
QN12 Jamaica-St. Albans-Hollis (CD 12 Approximation),QN12,QUEENS,24.69865373349759,1819.8666666666663,6812.0,5.0,6.0,0,0,270.0,67.0,159.0,148776.0,40599.0,27856.0,217231.0,261.0,3099.0,55203.0,48.51943910331567,21.0,496.0,0,0.0,0.24292822049092053,0.0,0.0,0.0,9.298369564149493
QN13 Queens Village-Bellerose-Rosedale (CD 13 Approximation),QN13,QUEENS,32.82326571652661,1694.5,3865.0,0.0,0.0,0,0,273.0,26.0,67.0,112853.0,23572.0,30312.0,166737.0,204.0,2419.0,78303.0,35.167968665934964,28.0,366.0,0,0.0,0.0,0.0,0.0,0.0,0.0
QN14 The Rockaways (CD 14 Approximation),QN14,QUEENS,17.571736821064764,1113.5,1646.0,1.0,11.0,0,0,82.0,9.0,40.0,43236.0,28665.0,4883.0,76784.0,122.0,1156.0,49451.0,37.43235183671666,27.0,131.0,0,0.0,0.6260052783634539,0.0,0.0,0.0,9.413240398813333
QN80 LaGuardia Airport (JIA 80 Approximation),QN80,QUEENS,2.842085180173605,1694.5,3865.0,0.0,0.0,0,0,274.0,43.0,157.0,10087.0,42279.5,31185.5,100261.5,288.5,3136.5,61243.5,50.58698259297227,27.0,486.5,0,0.0,0.0,0.0,0.0,0.0,0.0
QN81 Flushing Meadows-Corona Park (JIA 81 Approximation),QN81,QUEENS,5.128968225666191,1694.5,3865.0,0.0,2.0,0,0,274.0,43.0,157.0,10087.0,42279.5,31185.5,100261.5,288.5,3136.5,61243.5,50.58698259297227,27.0,486.5,0,0.0,0.3899419750724278,0.0,0.0,0.0,8.128585200374497
QN82 Forest Park (JIA 82 Approximation),QN82,QUEENS,2.2305842649392544,1694.5,3865.0,0.0,0.0,0,0,274.0,43.0,157.0,10087.0,42279.5,31185.5,100261.5,288.5,3136.5,61243.5,50.58698259297227,27.0,486.5,0,0.0,0.0,0.0,0.0,0.0,0.0
QN83 JFK International Airport (JIA 83 Approximation),QN83,QUEENS,18.31952914966558,1694.5,3865.0,0.0,1.0,0,0,274.0,43.0,157.0,10087.0,42279.5,31185.5,100261.5,288.5,3136.5,61243.5,50.58698259297227,27.0,486.5,0,0.0,0.05458655579137823,0.0,0.0,0.0,7.4357329615656935
QN84 Jamaica Bay (East) (JIA 84 Approximation),QN84,QUEENS,11.385753885782723,1694.5,3865.0,0.0,0.0,0,0,274.0,43.0,157.0,10087.0,42279.5,31185.5,100261.5,288.5,3136.5,61243.5,50.58698259297227,27.0,486.5,0,0.0,0.0,0.0,0.0,0.0,0.0
SI01 North Shore (CD 1 Equivalent),SI01,STATEN ISLAND,35.05084301434401,460.0555555555555,1140.0,3.0,4.0,0,0,351.0,56.0,100.0,37635.0,50711.0,12704.0,101050.0,255.0,2736.0,60746.0,36.9888021619446,29.0,507.0,0,0.0,0.11411993709717802,0.0,0.0,0.0,7.518184881293574
SI02 Mid-Island (CD 2 Approximation),SI02,STATEN ISLAND,56.31497694136,336.4166666666667,818.0,2.0,6.0,0,0,484.0,47.0,170.0,5121.0,18436.0,16952.0,40509.0,325.0,3997.0,74942.0,29.010676406546324,31.0,701.0,0,0.0,0.10654359330108075,0.0,0.0,0.0,7.610605235003468
SI03 South Shore (CD 3 Approximation),SI03,STATEN ISLAND,55.316182796696694,398.2361111111111,979.0,0.0,11.0,0,0,409.0,32.0,106.0,1461.0,16082.0,7805.0,25348.0,211.0,2485.0,86978.0,23.69240608403081,32.0,547.0,0,0.0,0.19885681628517732,0.0,0.0,0.0,8.385168599505056
SI95 Great Kills Park-Fort Wadsworth (JIA 95 Approximation),SI95,STATEN ISLAND,4.157266993584571,398.2361111111111,979.0,0.0,0.0,0,0,409.0,47.0,106.0,5121.0,18436.0,12704.0,40509.0,255.0,2736.0,74942.0,29.010676406546324,31.0,547.0,0,0.0,0.0,0.0,0.0,0.0,0.0
